image_id,wind_speed
abs_000,43
abs_001,44
abs_002,45
abs_003,52
abs_004,53
abs_005,62
abs_006,63
abs_007,65
abs_008,65
abs_009,65
abs_010,65
abs_011,65
abs_012,65
abs_013,65
abs_014,65
abs_015,65
abs_016,65
abs_017,65
abs_018,64
abs_019,64
abs_020,64
abs_021,63
abs_022,62
abs_023,62
abs_024,61
abs_025,61
abs_026,61
abs_027,60
abs_028,59
abs_029,59
abs_030,59
abs_031,58
abs_032,57
abs_033,55
abs_034,55
abs_035,55
abs_036,55
abs_037,55
abs_038,54
abs_039,54
abs_040,54
abs_041,53
abs_042,52
abs_043,52
abs_044,51
abs_045,51
abs_046,51
abs_047,50
abs_048,50
abs_049,50
abs_050,50
abs_051,50
abs_052,50
abs_053,50
abs_054,50
abs_055,50
abs_056,50
acd_000,30
acd_001,30
acd_002,30
acd_003,30
acd_004,30
acd_005,30
acd_006,30
acd_007,30
acd_008,30
acd_009,30
acd_010,30
acd_011,30
acd_012,30
acd_013,30
acd_014,30
acd_015,30
acd_016,30
acd_017,30
acd_018,30
acd_019,30
acd_020,30
acd_021,30
acd_022,30
acd_023,30
acd_024,30
acd_025,30
acd_026,30
acd_027,30
acd_028,30
acd_029,31
acd_030,31
acd_031,32
acd_032,32
acd_033,33
acd_034,33
acd_035,35
acd_036,35
acd_037,35
acd_038,35
acd_039,35
acd_040,35
acd_041,35
acd_042,35
acd_043,36
acd_044,37
acd_045,38
acd_046,38
acd_047,39
acd_048,41
acd_049,42
acd_050,43
acd_051,43
acd_052,44
acd_053,46
acd_054,47
acd_055,48
acd_056,48
acd_057,49
acd_058,51
acd_059,52
acd_060,53
acd_061,53
acd_062,54
acd_063,55
acd_064,55
acd_065,55
acd_066,55
acd_067,55
acd_068,55
acd_069,55
acd_070,55
acd_071,56
acd_072,56
acd_073,57
acd_074,58
acd_075,59
acd_076,59
acd_077,60
acd_078,60
acd_079,60
acd_080,60
acd_081,60
acd_082,60
acd_083,60
acd_084,60
acd_085,60
